Name,Sx,Sy,Sz,Ex,Ey,Ez,Trend,Plunge,Length,fam,REGION
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.5 on -69->137,629538.01,5056914.28,24.93199921,629538.609,5056913.637,27.30599976,137.0292358,-69.68702698,2.531429291,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.9 on -79->029,629535.484,5056915.761,23.80800056,629535.75,5056916.231,26.6439991,29.50554276,-79.21794891,2.886965275,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.7 on -75->002,629534.373,5056916.642,23.93700027,629534.398,5056917.317,26.58699989,2.123204231,-75.70050049,2.734727144,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.3.7 on -64->177,629536.613,5056916.545,29.57799911,629536.674,5056914.957,32.9679985,177.7989197,-64.88345337,3.744009256,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.1 on -50->189,629538.116,5056914.447,31.37800026,629537.907,5056913.149,32.97499847,189.1488037,-50.53641129,2.068573713,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.5 on 00->357,629536.209,5056914.227,34.01599884,629536.131,5056915.76,34.04100037,357.0871887,-0.93314153,1.535206795,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.9 on 67->354,629541.724,5056911.977,22.7670002,629541.651,5056912.697,21.0529995,354.2110291,67.10849762,1.860530257,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.3.6 on -86->199,629532.855,5056918.622,21.09199905,629532.778,5056918.403,24.70100021,199.3639984,-86.31989288,3.616458416,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.9 on -73->192,629529.054,5056921.362,23.40699959,629528.938,5056920.849,25.19499969,192.7444458,-73.60822296,1.863753319,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.8 on -72->216,629528.654,5056922.342,21.51799965,629528.155,5056921.675,24.17300034,216.7993622,-72.58142853,2.782601357,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -78->214,629526.805,5056923.974,20.68300056,629526.606,5056923.689,22.43099976,214.9235992,-78.75424957,1.782218218,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.2 on -83->188,629525.025,5056924.894,21.37599945,629524.988,5056924.648,23.55400085,188.5655365,-83.48456573,2.192159891,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.5 on -68->179,629523.38,5056926.438,21.10300064,629523.389,5056925.525,23.39900017,179.4369354,-68.31467438,2.47086978,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.0 on 73->019,629520.894,5056927.754,23.38699913,629521.088,5056928.317,21.43300056,19.01622581,73.0512619,2.042722225,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.7 on 74->111,629516.688,5056933.056,24.26000023,629517.123,5056932.889,22.58699989,111.0084152,74.43617249,1.736680627,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.7 on 79->059,629515.865,5056933.539,24.29800034,629516.128,5056933.697,22.58799934,59.00106049,79.82778168,1.737309098,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.7 on -75->166,629511.844,5056937.738,22.00600052,629511.944,5056937.32,23.66699982,166.5439911,-75.49344635,1.715697408,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.3.1 on -65->192,629512.077,5056937.326,30.51399994,629511.807,5056936.101,33.31600189,192.4308319,-65.88319397,3.069965839,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.3.0 on -87->159,629509.401,5056940.084,26.5359993,629509.455,5056939.938,29.55800056,159.7068939,-87.05140686,3.026007414,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.7 on -75->172,629509.409,5056940.129,30.40299988,629509.468,5056939.686,32.07500076,172.4159546,-75.03348541,1.730711937,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.7 on -70->018,629506.829,5056940.709,26.39500046,629507.115,5056941.58,28.9260006,18.17620659,-70.08860779,2.691921949,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.6 on -68->174,629505.574,5056947.608,22.02499962,629505.667,5056946.65,24.48699951,174.455719,-68.64839172,2.643435717,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.1 on -71->015,629507.157,5056945.084,30.79899979,629507.332,5056945.716,32.7519989,15.47587204,-71.43849945,2.060163736,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.3.2 on -69->155,629503.127,5056950.518,26.06100082,629503.588,5056949.515,29.02499962,155.3153534,-69.57350922,3.162878275,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.9 on -73->312,629503.494,5056950.142,29.09799957,629503.097,5056950.506,30.87899971,312.513031,-73.1743927,1.860654354,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.4 on 84->042,629500.364,5056953.057,25.42499924,629500.516,5056953.221,23.08499908,42.82078171,84.54182434,2.350658178,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on 83->121,629499.08,5056954.479,25.16399956,629499.262,5056954.366,23.33399963,121.8288803,83.32334137,1.842495561,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.0 on 70->001,629497.09,5056955.929,24.65600014,629497.102,5056956.614,22.7689991,1.003071427,70.04585266,2.007520437,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.0 on -81->203,629496.552,5056957.11,23.44000053,629496.44,5056956.849,25.42000008,203.2260742,-81.83740234,2.000263929,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.0 on -84->250,629497.629,5056955.393,28.76300049,629497.439,5056955.325,30.8010006,250.3100281,-84.34503174,2.047966957,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.8 on -75->287,629501.534,5056951.683,33.60400009,629501.097,5056951.818,35.33800125,287.1679382,-75.22320557,1.793311715,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.2 on -72->129,629497.074,5056955.88,25.21100044,629497.592,5056955.455,27.31200027,129.3665314,-72.31192017,2.205253839,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.1 on -82->179,629496.062,5056957.148,28.76499939,629496.063,5056956.873,30.81200027,179.7965546,-82.34781647,2.065393925,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.2.9 on -61->162,629492.456,5056961.224,29.7329998,629492.879,5056959.881,32.28300095,162.5173645,-61.09341812,2.912925482,fam2,VARENNE
Varennedips - Copy.bin (C:/Users/AV16310/Downloads/varenne).measurements.J2.1.7 on -27->343,629492.157,5056964.348,26.1079998,629491.732,5056965.812,26.91399956,343.8111877,-27.8663063,1.724395752,fam2,VARENNE
